cd_name,Overall,Veterans,Veterans and veteran or military spouses
Idaho - 2,"12,500","2,500","2,900"
Illinois - 1,"6,300",800,900
Illinois - 2,"6,600","1,100","1,200"
Illinois - 3,"3,400",500,700
Illinois - 4,"4,400",700,700
Illinois - 5,"5,100",900,900
Illinois - 6,"4,200",600,600
Illinois - 7,"9,500","2,000","2,200"
Illinois - 8,"4,200",700,900
Illinois - 9,"3,600",500,500
Illinois - 10,"5,800","1,700","2,200"
Illinois - 11,"4,300",800,900
Illinois - 12,"7,800","2,600","3,200"
Illinois - 13,"6,400","2,000","2,500"
Illinois - 14,"4,500",800,"1,000"
Illinois - 15,"4,500","1,000","1,100"
Illinois - 16,"3,700",500,700
Illinois - 17,"5,600",700,"1,000"
Indiana - 1,"4,600",-,-
Indiana - 2,"2,700",-,-
Indiana - 3,"3,600",-,-
Indiana - 4,"5,700","1,300","1,400"
Indiana - 5,"6,100",-,-
Indiana - 6,"5,200","1,400","2,000"
Indiana - 7,"8,600","1,400","1,800"
Indiana - 8,"5,900","1,000","1,300"
Indiana - 9,"5,900","1,100","1,400"
Iowa - 1,"7,300","1,800","2,000"
Iowa - 2,"3,700",-,-
Iowa - 3,"5,800","1,800","2,100"
Iowa - 4,"5,000","1,100","1,300"
Kansas - 1,"5,600","1,600","2,000"
Kansas - 2,"10,900","3,100","3,700"
Kansas - 3,"5,400","1,100","1,300"
Kansas - 4,"6,200","1,500","1,900"
Kentucky - 1,"4,000",900,"1,000"
Kentucky - 2,"7,500","2,900","3,600"
Kentucky - 3,"4,300",-,-
Kentucky - 4,"7,100","1,500","1,700"
Kentucky - 5,"5,200",800,"1,100"
Kentucky - 6,"6,700","1,600","1,900"
Maine - 1,"7,100","1,900","2,200"
Maine - 2,"4,900",800,"1,100"
Maryland - 1,"16,200","4,500","5,400"
Maryland - 2,"15,300","2,700","3,200"
Maryland - 3,"30,200","8,300","9,700"
Maryland - 4,"32,400","5,100","6,200"
Maryland - 5,"53,400","16,300","20,100"
Maryland - 6,"23,700","4,800","5,400"
Maryland - 7,"13,200","2,000","2,400"
Maryland - 8,"41,000","4,000","4,800"
Massachusetts - 1,"4,900",700,800
Massachusetts - 2,"4,100",800,"1,000"
Massachusetts - 3,"5,800","1,000","1,100"
Massachusetts - 4,"3,700",600,700
Massachusetts - 5,"5,400",900,900
Massachusetts - 6,"5,600",600,700
Massachusetts - 7,"4,400",500,600
Massachusetts - 8,"5,900",800,900
Massachusetts - 9,"4,200",800,900
Michigan - 1,"6,300","1,300","1,800"
Michigan - 2,"4,700",900,"1,100"
Michigan - 3,"2,900",-,-
Michigan - 4,"3,200",-,-
Michigan - 5,"3,500",800,"1,000"
Michigan - 6,"4,300",-,-
Michigan - 7,"3,900",-,-
Michigan - 8,"3,400",-,-
Michigan - 9,"4,700","1,000","1,300"
Michigan - 10,"4,900","1,100","1,400"
Michigan - 11,"3,800",-,-
Michigan - 12,"4,100",-,-
Michigan - 13,"4,700",500,700
Minnesota - 1,"2,400",-,-
Minnesota - 2,"5,200",-,-
Minnesota - 3,"3,400",-,-
Minnesota - 4,"3,800",-,-
Minnesota - 5,"4,600",-,-
Minnesota - 6,"3,600",-,-
Minnesota - 7,"4,200",700,900
Minnesota - 8,"4,400",800,900
Mississippi - 1,"5,400",900,"1,200"
Mississippi - 2,"7,100","1,300","1,500"
Mississippi - 3,"5,700","1,300","1,700"
Mississippi - 4,"11,800","4,400","5,200"
Missouri - 1,"9,300","1,200","1,600"
Missouri - 2,"4,100","1,000","1,100"
Missouri - 3,"3,800","1,100","1,300"
Missouri - 4,"9,200","3,100","3,600"
Missouri - 5,"11,000","2,000","2,500"
Missouri - 6,"6,300","1,700","1,900"
Missouri - 7,"3,200",-,-
Missouri - 8,"6,100","1,400","1,600"
Montana - 1,"6,900","1,400","1,900"
Montana - 2,"8,500","2,600","3,000"
Nebraska - 1,"7,500","2,600","3,000"
Nebraska - 2,"5,900","1,700","2,000"
Nebraska - 3,"4,100",700,800
Nevada - 1,"6,200","1,500","1,800"
Nevada - 2,"7,300","2,000","2,500"
Nevada - 3,"6,400","2,000","2,400"
Nevada - 4,"7,900","2,800","3,400"
New Hampshire - 1,"7,500","2,000","2,500"
New Hampshire - 2,"5,600","1,300","1,700"
New Jersey - 1,"7,100","1,000","1,200"
New Jersey - 2,"5,900","1,500","1,600"
New Jersey - 3,"6,900","2,200","2,600"
New Jersey - 4,"3,800",700,800
New Jersey - 5,"4,000",-,-
New Jersey - 6,"4,500",400,400
New Jersey - 7,"4,600",700,800
New Jersey - 8,"3,600",-,-
New Jersey - 9,"3,100",400,400
New Jersey - 10,"5,000",500,600
New Jersey - 11,"4,500",600,600
New Jersey - 12,"3,300",-,-
New Mexico - 1,"16,200","3,800","4,500"
New Mexico - 2,"12,900","3,600","4,400"
New Mexico - 3,"15,100","2,700","3,400"
North Dakota - 1,"9,200","2,800","3,300"
Ohio - 1,"6,500","1,100","1,300"
Ohio - 2,"4,900","1,200","1,600"
Ohio - 3,"5,100","1,300","1,500"
Ohio - 4,"2,600",700,800
Ohio - 5,"4,700","1,300","1,400"
Ohio - 6,"3,800",700,900
Ohio - 7,"4,700",700,800
Ohio - 8,"7,500","1,400","1,800"
Ohio - 9,"2,900",-,-
Ohio - 10,"15,300","5,800","6,600"
Ohio - 11,"6,700","1,200","1,400"
Ohio - 12,"4,200","1,100","1,300"
Ohio - 13,"4,000",-,-
Ohio - 14,"3,800",-,-
Ohio - 15,"4,300","1,200","1,400"
Oklahoma - 1,"6,000","1,100","1,300"
Oklahoma - 2,"11,700","1,400","1,900"
Oklahoma - 3,"9,600","2,100","2,600"
Oklahoma - 4,"19,400","6,500","7,800"
Oklahoma - 5,"13,400","2,700","3,300"
Oregon - 1,"2,700",500,500
Oregon - 2,"5,400","1,100","1,300"
Oregon - 3,"4,700",900,900
Oregon - 4,"5,600","1,200","1,400"
Oregon - 5,"3,500",700,700
Oregon - 6,"3,400",800,"1,000"
Pennsylvania - 1,"3,600",-,-
Pennsylvania - 2,"6,200",-,-
Pennsylvania - 3,"7,200",-,-
Pennsylvania - 4,"4,200",700,900
Pennsylvania - 5,"5,600","1,000","1,100"
Pennsylvania - 6,"4,200",-,-
Pennsylvania - 7,"3,000",-,-
Pennsylvania - 8,"7,000","1,500","1,700"
Pennsylvania - 9,"5,000","1,100","1,500"
Pennsylvania - 10,"8,900","2,800","3,300"
Pennsylvania - 11,"3,900","1,100","1,200"
Pennsylvania - 12,"5,800","1,100","1,200"
Pennsylvania - 13,"7,000","2,000","2,300"
Pennsylvania - 14,"3,900",700,800
Pennsylvania - 15,"4,400",900,"1,100"
Pennsylvania - 16,"4,700","1,000","1,200"
Pennsylvania - 17,"5,900","1,200","1,400"
Rhode Island - 1,"6,000","1,300","1,400"
Rhode Island - 2,"5,900","1,000","1,100"
South Carolina - 1,"10,600","4,200","4,900"
South Carolina - 2,"11,600","3,500","4,000"
South Carolina - 3,"3,800",-,-
South Carolina - 4,"3,700",-,-
South Carolina - 5,"4,300","1,300","1,600"
South Carolina - 6,"6,300","2,000","2,400"
South Carolina - 7,"2,900",-,-
South Dakota - 1,"10,500","2,500","3,100"
Tennessee - 1,"6,600","1,400","1,800"
Tennessee - 2,"7,300","1,500","1,800"
Tennessee - 3,"9,800","2,200","2,500"
Tennessee - 4,"8,300","1,900","2,100"
Tennessee - 5,"5,300","1,500","1,600"
Tennessee - 6,"5,600","1,300","1,400"
Tennessee - 7,"9,400","4,300","5,100"
Tennessee - 8,"5,000","1,400","1,700"
Tennessee - 9,"9,400","1,800","2,600"
Texas - 1,"6,800","1,500","1,700"
Texas - 2,"5,200","1,500","1,800"
Texas - 3,"5,200","1,100","1,400"
Texas - 4,"4,200",800,900
Texas - 5,"4,200",900,"1,000"
Texas - 6,"5,000","1,400","1,600"
Texas - 7,"3,300",300,400
Texas - 8,"3,400",-,-
Texas - 9,"5,200",600,900
Texas - 10,"5,000",900,"1,000"
Texas - 11,"10,200","4,700","5,800"
Texas - 12,"9,000","3,100","3,600"
Texas - 13,"9,700","3,300","4,000"
Texas - 14,"5,000","1,100","1,300"
Texas - 15,"5,900","1,900","2,200"
Texas - 16,"14,000","4,800","5,600"
Texas - 17,"4,600","1,500","1,600"
Texas - 18,"7,100","1,200","1,400"
Texas - 19,"5,400","1,000","1,500"
Texas - 20,"9,800","4,300","5,000"
Texas - 21,"9,500","4,000","4,800"
Texas - 22,"4,300",700,"1,000"
Texas - 23,"15,500","7,500","8,500"
Texas - 24,"4,500","1,200","1,200"
Texas - 25,"8,300","1,700","2,000"
Texas - 26,"4,800","1,200","1,300"
Texas - 27,"8,000","2,700","3,000"
Texas - 28,"10,400","4,100","4,900"
Texas - 29,"3,200",600,600
Texas - 30,"7,500","1,800","2,200"
Texas - 31,"8,300","3,900","4,400"
Texas - 32,"4,600","1,000","1,100"
Texas - 33,"3,800",700,800
Texas - 34,"7,000","1,500","1,700"
Texas - 35,"8,600","2,900","3,600"
Texas - 36,"4,500",900,"1,000"
Texas - 37,"5,100",-,-
Texas - 38,"3,100",600,700
Utah - 1,"18,300","4,400","5,200"
Utah - 2,"8,100","1,400","1,600"
Utah - 3,"4,400",700,800
Utah - 4,"4,300","1,000","1,000"
Vermont - 1,"5,500","1,200","1,600"
Virginia - 1,"13,100","5,800","6,400"
Virginia - 2,"21,200","11,100","12,500"
Virginia - 3,"20,500","9,100","10,500"
Virginia - 4,"13,000","4,100","4,600"
Virginia - 5,"7,500","2,000","2,200"
Virginia - 6,"7,500","1,500","2,000"
Virginia - 7,"38,400","17,300","19,800"
Virginia - 8,"50,100","11,100","13,400"
Virginia - 9,"4,800","1,000","1,300"
Virginia - 10,"23,600","7,500","8,900"
Virginia - 11,"35,800","8,200","10,000"
Washington - 1,"3,500",800,"1,000"
Washington - 2,"5,500","1,500","1,800"
Washington - 3,"7,000","1,900","2,300"
Washington - 4,"9,600","1,900","2,400"
Washington - 5,"8,400","2,500","3,000"
Washington - 6,"18,700","6,800","8,000"
Washington - 7,"4,100",800,900
Washington - 8,"5,500","1,700","1,900"
Washington - 9,"6,400","1,500","1,600"
Washington - 10,"9,700","4,800","5,800"
West Virginia - 1,"7,100","2,200","2,500"
West Virginia - 2,"15,800","3,300","4,000"
Wisconsin - 1,"4,800",-,-
Wisconsin - 2,"4,000",-,-
Wisconsin - 3,"4,300","1,400","1,600"
Wisconsin - 4,"2,900",-,-
Wisconsin - 5,"3,500",-,-
Wisconsin - 6,"2,400",300,400
Wisconsin - 7,"3,500",700,900
Wisconsin - 8,"3,600",400,600
Wyoming - 1,"8,100","2,400","2,800"
